Code Rep;Code Clt;lib famille;lib sfam;cp cli liv;ville cli liv;date doc;Vte Facturées;Marge %(BA)
7;V00465;LIQUIDE;HUILE MOTEUR;95520;OSNY;18/10/2017;129.50;38.15
2;V01003;EQUIPEMENT ATELIER;OUTILLAGE;78500;SARTROUVILLE;27/04/2016;159;23.88
1;V00255;VITRAGE;DIVERS VITRAGE 0;95150;TAVERNY;14/10/2015;23.80;43.99
1;V00449;ELECTRICITE;BATTERIE;95027;CERGY-PONTOISE CEDEX;28/09/2017;942.76;12.05
7;V00739;FILTRATION;FILTRE HABITACLE;95000;CERGY;14/10/2016;18.43;25.66
5;V00484;FREINAGE;HYDRAULIQUE, MAITRE, CYLINDRE, CORRECTEUR, SERVO..;;;17/10/2017;76.98;28.33
1;V00074;DIRECTION, SUSPENSION, TRANSMISSION;ROTULE, BIELLETTE, TRIANGLE, SILENTBLOC;95250;BEAUCHAMP;04/10/2017;97.50;36
5;V00411;FREINAGE;DISQUE;;;01/09/2015;71.51;54.86
2;V01094;VITRAGE;PEINTURE, VERNIS, DURCISSEUR, PPS;95100;ARGENTEUIL;16/12/2015;112.48;53.50
1;V00937;FREINAGE;PLAQUETTE;95310;ST OUEN L AUMONE;14/01/2016;47.05;42
7;V01148;ELECTRICITE;BATTERIE;60240;MONTJAVOULT;03/04/2017;61.36;30
7;V00739;ACCESSOIRE AUTO, PRODUIT ENTRETIEN;PLAQUE D'IMMATRICULATION;95000;CERGY;15/06/2017;18;52.22
1;V00594;LIQUIDE;LIQUIDE DE REFROIDISSEMENT;95480;PIERRELAYE;25/04/2016;39.69;24.41
5;V00411;ENTRAINEMENT;DEMARREUR;;;08/02/2016;83.30;38.19
5;V00411;ENTRAINEMENT;COURROIES;;;08/07/2017;27.90;45.30
7;V00740;FILTRATION;FILTRE HABITACLE;95300;ENNERY;11/09/2015;-18.58;25.62
7;V00739;ENTRAINEMENT;KIT DE DISTRIBUTION AVEC POMPE A EAU;95000;CERGY;10/12/2015;220.01;30.91
5;V00110;ENTRAINEMENT;COURROIES;95450;US;02/06/2016;114.40;60
7;V00740;ENTRAINEMENT;COURROIES;95300;ENNERY;20/07/2016;16.21;58.11
7;V00688;FILTRATION;FILTRE A HUILE;;;07/03/2015;5.35;25.61
8;V01009;ELECTRICITE;BOBINE;78130;LES MUREAUX;15/06/2015;48.95;59.14
7;V00724;ENTRAINEMENT;GALET, POULIE, DAMPER;95650;PUISEUX PONTOISE;19/10/2016;36.30;47.16
6;V00331;FREINAGE;PLAQUETTE;95640;MARINES;22/03/2017;22.48;50
5;V00411;FREINAGE;PLAQUETTE;;;21/09/2015;24.30;58.31
6;V00979;FREINAGE;PLAQUETTE;95450;VIGNY;12/07/2016;126.45;42
1;V01122;COMPTABILITE;DIVERS COMPTABILITE;95310;ST OUEN L AUMONE;03/06/2016;0;0
7;V00676;EMBRAYAGE;KIT EMBRAYAGE;95520;OSNY;09/02/2016;121.22;36.21
5;V00411;LIQUIDE;HUILE MOTEUR;;;16/02/2016;184.51;40.22
1;V01145;FILTRATION;FILTRE HABITACLE;95840;VILLIERS ADAM;25/10/2016;-10.17;29.30
5;V00411;FILTRATION;FILTRE A AIR;;;30/06/2017;10.57;31.32
6;V00979;VITRAGE;DIVERS VITRAGE 0;95450;VIGNY;02/02/2017;13.20;34.09
7;V00659;ENTRAINEMENT;DEMARREUR;95810;EPIAIS RHUS;30/06/2015;0;0
5;V00411;ECHAPPEMENT;ACCESSOIRES DE MONTAGE;;;12/01/2015;2.74;29.93
